Id,Attraction,Attraction Type,Review Month,Visit Month,Reviewer Rating,Reviewer Level,Reason for Poor Rating,Reviewer Type,Text,Long Text
27,Universal Studios,Theme Park,201612,2016-12,5,10,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
28,Universal Studios,Theme Park,201612,2016-12,5,7,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
29,Universal Studios,Theme Park,201612,2016-12,3,1,Long Queue,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
30,Universal Studios,Theme Park,201612,2016-12,3,8,Long Queue,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
31,Universal Studios,Theme Park,201612,2016-12,3,4,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
32,Universal Studios,Theme Park,201612,2016-12,3,9,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
33,Universal Studios,Theme Park,201612,2016-12,3,3,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
34,Universal Studios,Theme Park,201612,2016-12,3,6,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
35,Universal Studios,Theme Park,201612,2016-12,2,7,Long Queue,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
36,Universal Studios,Theme Park,201612,2016-12,1,9,Long Queue,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
37,Universal Studios,Theme Park,201612,2016-12,4,1,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
38,Universal Studios,Theme Park,201612,2016-12,5,7,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
39,Universal Studios,Theme Park,201612,2016-12,5,2,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
40,Universal Studios,Theme Park,201612,2016-12,5,7,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
41,Universal Studios,Theme Park,201612,2016-12,4,2,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
42,Universal Studios,Theme Park,201612,2016-12,4,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
43,Universal Studios,Theme Park,201612,2016-12,4,7,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
44,Universal Studios,Theme Park,201612,2016-12,4,10,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
45,Universal Studios,Theme Park,201612,2016-12,3,7,Ongoing Maintenance,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
46,Universal Studios,Theme Park,201612,2016-12,3,3,Ongoing Maintenance,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
47,Universal Studios,Theme Park,201612,2016-12,2,9,Ongoing Maintenance,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
48,Universal Studios,Theme Park,201612,2016-12,1,3,Ongoing Maintenance,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
49,Universal Studios,Theme Park,201612,2016-12,4,10,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
50,Universal Studios,Theme Park,201612,2016-12,5,8,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
51,Universal Studios,Theme Park,201612,2016-12,5,3,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
52,Universal Studios,Theme Park,201612,2016-12,5,10,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
53,Universal Studios,Theme Park,201612,2016-12,3,5,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
54,Universal Studios,Theme Park,201612,2016-12,3,6,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
55,Universal Studios,Theme Park,201612,2016-12,3,10,Long Queue,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
56,Universal Studios,Theme Park,201612,2016-12,3,10,Long Queue,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
57,Universal Studios,Theme Park,201612,2016-12,3,2,Ongoing Maintenance,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
58,Universal Studios,Theme Park,201612,2016-12,3,10,Staff,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
59,Universal Studios,Theme Park,201612,2016-12,2,8,Staff,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
60,Universal Studios,Theme Park,201612,2016-12,1,10,Staff,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
61,Universal Studios,Theme Park,201612,2016-12,4,3,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
62,Universal Studios,Theme Park,201612,2016-12,5,8,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
63,Universal Studios,Theme Park,201612,2016-12,5,3,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
64,Universal Studios,Theme Park,201612,2016-12,5,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
65,Universal Studios,Theme Park,201612,2016-12,4,5,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
66,Universal Studios,Theme Park,201612,2016-12,4,2,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
67,Universal Studios,Theme Park,201612,2016-12,4,8,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
68,Universal Studios,Theme Park,201612,2016-12,4,3,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
69,Universal Studios,Theme Park,201612,2016-12,3,3,Other,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
70,Universal Studios,Theme Park,201612,2016-12,3,3,Other,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
71,Universal Studios,Theme Park,201612,2016-12,2,5,Other,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
72,Universal Studios,Theme Park,201612,2016-12,1,9,Other,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
73,Universal Studios,Theme Park,201612,2016-12,4,8,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
74,Universal Studios,Theme Park,201612,2016-12,5,10,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
75,Universal Studios,Theme Park,201612,2016-12,5,5,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
76,Universal Studios,Theme Park,201612,2016-12,5,10,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
77,Universal Studios,Theme Park,201612,2016-12,4,10,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
78,Universal Studios,Theme Park,201612,2016-12,4,7,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
79,Universal Studios,Theme Park,201612,2016-12,4,5,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
80,Universal Studios,Theme Park,201612,2016-12,4,3,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
81,Universal Studios,Theme Park,201612,2016-12,3,5,Other,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
82,Universal Studios,Theme Park,201612,2016-12,3,7,Other,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
83,Universal Studios,Theme Park,201612,2016-12,2,6,Other,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
84,Universal Studios,Theme Park,201612,2016-12,1,4,Other,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
85,Universal Studios,Theme Park,201612,2016-12,4,8,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
86,Universal Studios,Theme Park,201612,2016-12,5,8,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
87,Universal Studios,Theme Park,201612,2016-12,5,7,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
88,Universal Studios,Theme Park,201612,2016-12,5,8,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
89,Universal Studios,Theme Park,201612,2016-12,4,2,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
90,Universal Studios,Theme Park,201612,2016-12,4,6,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
91,Universal Studios,Theme Park,201612,2016-12,4,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
92,Universal Studios,Theme Park,201612,2016-12,4,4,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
93,Universal Studios,Theme Park,201612,2016-12,3,8,Other,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
94,Universal Studios,Theme Park,201612,2016-12,3,5,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
95,Universal Studios,Theme Park,201612,2016-12,2,10,Expensive,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
96,Universal Studios,Theme Park,201612,2016-12,1,4,Expensive,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
97,Universal Studios,Theme Park,201612,2016-12,4,9,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
98,Universal Studios,Theme Park,201612,2016-12,5,5,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
99,Universal Studios,Theme Park,201612,2016-12,5,4,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
100,Universal Studios,Theme Park,201612,2016-12,5,4,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
101,Universal Studios,Theme Park,201612,2016-12,3,8,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
102,Universal Studios,Theme Park,201612,2016-12,3,8,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
103,Universal Studios,Theme Park,201612,2016-12,3,9,Staff,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
104,Universal Studios,Theme Park,201612,2016-12,3,1,Expensive,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
105,Universal Studios,Theme Park,201612,2016-12,3,9,Expensive,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
106,Universal Studios,Theme Park,201612,2016-12,3,9,Expensive,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
107,Universal Studios,Theme Park,201612,2016-12,2,2,Long Queue,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
108,Universal Studios,Theme Park,201612,2016-12,1,10,Long Queue,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
109,Universal Studios,Theme Park,201612,2016-12,4,2,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
110,Universal Studios,Theme Park,201612,2016-12,5,5,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
111,Universal Studios,Theme Park,201612,2016-12,5,2,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
112,Universal Studios,Theme Park,201612,2016-12,5,2,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
113,Universal Studios,Theme Park,201612,2016-12,4,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
114,Universal Studios,Theme Park,201612,2016-12,4,1,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
115,Universal Studios,Theme Park,201612,2016-12,4,5,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
116,Universal Studios,Theme Park,201612,2016-12,4,7,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
117,Universal Studios,Theme Park,201612,2016-12,3,5,Long Queue,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
118,Universal Studios,Theme Park,201612,2016-12,3,7,Long Queue,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
119,Universal Studios,Theme Park,201612,2016-12,2,2,Long Queue,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
120,Universal Studios,Theme Park,201612,2016-12,1,9,Long Queue,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
121,Universal Studios,Theme Park,201612,2016-12,4,8,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
122,Universal Studios,Theme Park,201612,2016-12,5,4,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
123,Universal Studios,Theme Park,201612,2016-12,5,7,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
124,Universal Studios,Theme Park,201612,2016-12,5,7,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
125,Universal Studios,Theme Park,201612,2016-12,4,1,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
126,Universal Studios,Theme Park,201612,2016-12,4,7,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
127,Universal Studios,Theme Park,201612,2016-12,4,9,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
128,Universal Studios,Theme Park,201612,2016-12,4,8,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
129,Universal Studios,Theme Park,201612,2016-12,3,6,Long Queue,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
130,Universal Studios,Theme Park,201612,2016-12,3,2,Long Queue,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
131,Universal Studios,Theme Park,201612,2016-12,2,9,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
132,Universal Studios,Theme Park,201612,2016-12,1,3,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
133,Universal Studios,Theme Park,201612,2016-12,4,7,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
134,Universal Studios,Theme Park,201612,2016-12,5,10,*,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
135,Universal Studios,Theme Park,201612,2016-12,5,8,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
136,Universal Studios,Theme Park,201612,2016-12,5,1,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
137,Universal Studios,Theme Park,201612,2016-12,4,8,*,Solo,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
138,Universal Studios,Theme Park,201612,2016-12,4,8,*,Business,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
139,Universal Studios,Theme Park,201612,2016-12,4,1,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
140,Universal Studios,Theme Park,201612,2016-12,4,1,*,Friends,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
141,Universal Studios,Theme Park,201612,2016-12,3,4,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
142,Universal Studios,Theme Park,201612,2016-12,3,10,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
143,Universal Studios,Theme Park,201612,2016-12,2,5,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
144,Universal Studios,Theme Park,201612,2016-12,1,8,Long Queue,Families,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
145,Universal Studios,Theme Park,201612,2016-12,4,5,*,Couples,Awesome experience,"We ultimately ended up buying annual pass to USS. The rides are awesome and thrilling. Best rides are cylone, transformer, galactica and mummy."
